Microp_Field_ID,Family,Database,Taxon,G_Taxon,Database.1,common.name,wild.cultivated,Herbaceous.woody,Reference,Notes,Root_Trait_Count,Database_Groot,Coarse_root_fine_root_mass_ratio,Fine_root_mass_leaf_mass_ratio,Lateral_spread,Mean_Root_diameter,Net_nitrogen_uptake_rate,Root_branching_density,Root_branching_ratio,Root_C_concentration,Root_C_N_ratio,Root_Ca_concentration,Root_cortex_thickness,Root_dry_matter_content,Root_K_concentration,Root_length_density_volume,Root_lifespan_mean,Root_lifespan_median,Root_lignin_concentration,Root_litter_mass_loss_rate,Root_mass_density,Root_mass_fraction,Root_Mg_concentration,Root_Mn_concentration,Root_mycorrhizal.colonization,Root_N_concentration,Root_N_P_ratio,Root_P_concentration,Root_production,Root_stele_diameter,Root_stele_fraction,Root_tissue_density,Root_total_structural_carbohydrate_concentration,Root_turnover_rate,Root_vessel_diameter,Root_xylem_vessel_number,Rooting_depth,Specific_root_area,Specific_root_length,Specific_root_respiration,,Growth.direction..orthotropic.plagiotropic.ageotropic.,Phyllotaxis..spiral.opposite.,Branching.type..monoopdial.sympodial.,Branching.position..acrotony.mesotony.basitony.,Flowering.of.each.axis..terminal.lateral.none.,Meristem.functioning.for.each.axis..indeterminate.determinate.,Branching.mechanism..continuous.rhythmic.diffuse.absent.,Short.shoots,Number.of.axes.orders,Number.of.types.of.axes,Reiteration,Basal.branching
1970,Moraceae,Guillame,Artocarpus annulatus ,Artocarpus annulatus ,MICROP,Chempedak wild relative 1,Wild,Woody,Zerega et al. 2010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1952,Moraceae,Guillame,Artocarpus camansi ,Artocarpus camansi ,MICROP,Breadfruit wild relative 1,Wild/cultivated,Woody,Zerega et al. 2010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1986,Moraceae,Guillame,Artocarpus fulvicortex,Artocarpus fulvicortex,MICROP,Monkey fruit wild relative 2,Wild,Woody,Zerega et al. 2010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1954,Moraceae,Guillame,Artocarpus heterophyllus ,Artocarpus heterophyllus ,MICROP,Jackfruit,Cultivated,Woody,Zerega et al. 2010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1971,Moraceae,Guillame,Artocarpus heterophyllus ,Artocarpus heterophyllus ,MICROP,Chempedak wild relative 2,Wild,Woody,Zerega et al. 2010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1989,Moraceae,Guillame,Artocarpus hirsutus,Artocarpus hirsutus,MICROP,Monkey jack wild relative 2,Wild,Woody,Zerega et al. 2010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1988,Moraceae,Guillame,Artocarpus hispidus,Artocarpus hispidus,MICROP,Monkey jack wild relative 1,Wild,Woody,Zerega et al. 2010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1956,Moraceae,Guillame,Artocarpus integer ,Artocarpus integer ,MICROP,Jackfruit wild relative 2,Wild,Woody,Zerega et al. 2010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1969,Moraceae,Guillame,Artocarpus integer ,Artocarpus integer ,MICROP,Chempedak ,Cultivated,Woody,Zerega et al. 2010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1984,Moraceae,Guillame,Artocarpus lacucha ,Artocarpus lacucha ,MICROP,Monkey fruit,Cultivated,Woody,Zerega et al. 2010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1953,Moraceae,Guillame,Artocarpus mariannensis,Artocarpus mariannensis,MICROP,Breadfruit wild relative 2,Wild,Woody,Zerega et al. 2010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1987,Moraceae,Guillame,Artocarpus rigidus ,Artocarpus rigidus ,MICROP,Monkey jack,Cultivated,Woody,Zerega et al. 2010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1985,Moraceae,Guillame,Artocarpus tonkinensis ,Artocarpus tonkinensis ,MICROP,Monkey fruit wild relative 1,Wild,Woody,Zerega et al. 2010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
311,Apocynaceae,Guillame,Asclepias curassavica ,Asclepias curassavica ,MICROP,Silkweed wild relative 1,Wild,Herbaceous,Rapini et al. 2003,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
310,Apocynaceae,Guillame,Asclepias syriaca,Asclepias syriaca,MICROP,Silkweed,Cultivated,Herbaceous,Rapini et al. 2003,,8,Groot,,,6.8,0.43,,,,,25.3,,,,,,135,,,,,,,,,36.0366,,,,,,0.14,,,,,,,133,35.85998323,,,,,,,,,,,NA,,
213,Annonaceae,Guillame,Asimina reticulata,Asimina reticulata,MICROP,Pawpaw wild relative 2,Wild,Woody,Mercer et al. 2016,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
212,Annonaceae,Guillame,Asimina tetramera ,Asimina tetramera ,MICROP,Pawpaw wild relative 1,Wild,Woody,Mercer et al. 2016,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
211,Annonaceae,Guillame,Asimina triloba ,Asimina triloba ,MICROP,Pawpaw ,Cultivated,Woody,Mercer et al. 2016,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
408,Asparagaceae,Guillame,Asparagus maritimus,Asparagus maritimus,MICROP,Asparagus wild relative 2,Wild,Herbaceous,Kubota et al. 2012,,1,Groot,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
406,Asparagaceae,Guillame,Asparagus officinalis,Asparagus officinalis,MICROP,Asparagus,Cultivated,Herbaceous,Kubota et al. 2012,,2,Groot,,,13,,,,,,,,,,,,,,,,,,,,148,,,,,,,,,,,,,,,,,Orthotropic,Spiral,Monopodial,Mesotonic,Lateral,Indeterminate,Continuous,Absent,3,1,Present,Present
407,Asparagaceae,Guillame,Asparagus pseudoscaber,Asparagus pseudoscaber,MICROP,Asparagus wild relative 1,Wild,Herbaceous,Kubota et al. 2012,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthotropic,Spiral,Monopodial,Mesotonic,Lateral,Indeterminate,Continuous,Absent,3,1,Present,Present
2528,Rutaceae,Guillame,Atlantia ceylanica ,Atlantia ceylanica ,MICROP,Woodapple wild relative 1,Wild,Woody,Bayer et al. 2009,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
74,Amaranthaceae,Guillame,Atriplex aucheri ,Atriplex aucheri ,MICROP,Garden orache wild relative 1,Wild,Herbaceous,Kadereit et al. 2010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
73,Amaranthaceae,Guillame,Atriplex hortensis,Atriplex hortensis,MICROP,Garden orache,Cultivated,Herbaceous,Kadereit et al. 2010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
75,Amaranthaceae,Guillame,Atriplex oblongifolia,Atriplex oblongifolia,MICROP,Garden orache wild relative 2,Wild,Herbaceous,Kadereit et al. 2010,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1439,Gramineae,Guillame,Avena canariensis,Avena canariensis,MICROP,Oats wild relative 2,wild,Graminoid,Li et al. 2000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1438,Gramineae,Guillame,Avena fatua ,Avena fatua ,MICROP,Oats wild relative 1,wild,Graminoid,Li et al. 2000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1437,Gramineae,Guillame,Avena sativa,Avena sativa,MICROP,oats,cultivated,Graminoid,Li et al. 2000,,7,Groot,,,0.5,0.496,,,,,,,,0.2337,,,,,,,,2.188,,,36,,,,,,,0.046,,,,,,,116.019,,,Orthotropic,Distichous,Monopodial,Basitonic,Terminal,Determinate,Continuous,Absent,2,1,Present,
2108,Oxalidaceae,Guillame,Averrhoa bilimbi ,Averrhoa bilimbi ,MICROP,Bilimbi,Cultivated,Woody,theplantlist.org,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2111,Oxalidaceae,Guillame,Averrhoa carambola ,Averrhoa carambola ,MICROP,Starfruit ,Cultivated,Woody,theplantlist.org,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2110,Oxalidaceae,Guillame,Averrhoa dolichocarpa,Averrhoa dolichocarpa,MICROP,Bilimbi wild relative 2,Wild,Woody,theplantlist.org,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2113,Oxalidaceae,Guillame,Averrhoa dolichocarpa,Averrhoa dolichocarpa,MICROP,Starfruit wild relative 2,Wild,Woody,theplantlist.org,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2109,Oxalidaceae,Guillame,Averrhoa leucopetala,Averrhoa leucopetala,MICROP,Bilimbi wild relative 1,Wild,Woody,theplantlist.org,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2112,Oxalidaceae,Guillame,Averrhoa leucopetala,Averrhoa leucopetala,MICROP,Starfruit wild relative 1,Wild,Woody,theplantlist.org,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1942,Meliaceae,Guillame,Azadirachta indica,Azadirachta indica,MICROP,Neem ,Cultivated,Woody,Muellner et al. 2008,,6,Groot,,,,,,,,,,,,,2.2,,,,,,,,,,,17.5,,1.1,169,,,,,0.97,,,1.2,,,,,,,,,,,,,,NA,,
2549,Salicaceae,Guillame,Azara serrata ,Azara serrata ,MICROP,Kei apple wild relative 1,Wild,Woody,Leskinen & Alstrom-Rapaport 1999,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2178,Phyllanthaceae ,Guillame,Baccaurea angulata,Baccaurea angulata,MICROP,Ketoepa wild relative 1,Wild,Woody,Haegens 2000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2188,Phyllanthaceae ,Guillame,Baccaurea angulata,Baccaurea angulata,MICROP,Burmese grape wild relative 2,Wild,Woody,Haegens 2000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2181,Phyllanthaceae ,Guillame,Baccaurea annamenesis,Baccaurea annamenesis,MICROP,Rambi wild relative 1,Wild,Woody,Haegens 2000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2182,Phyllanthaceae ,Guillame,Baccaurea brevipes,Baccaurea brevipes,MICROP,Rambi wild relative 2,Wild,Woody,Haegens 2000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2179,Phyllanthaceae ,Guillame,Baccaurea courtailensis,Baccaurea courtailensis,MICROP,Ketoepa wild relative 2,Wild,Woody,Haegens 2000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2177,Phyllanthaceae ,Guillame,Baccaurea dulcis ,Baccaurea dulcis ,MICROP,Ketoepa ,Cultivated,Woody,Haegens 2000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2180,Phyllanthaceae ,Guillame,Baccaurea motleyana,Baccaurea motleyana,MICROP,Rambi,Cultivated,Woody,Haegens 2000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2185,Phyllanthaceae ,Guillame,Baccaurea parviflora,Baccaurea parviflora,MICROP,Kapundung wild relative 2,Wild,Woody,Haegens 2000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2187,Phyllanthaceae ,Guillame,Baccaurea parviflora,Baccaurea parviflora,MICROP,Burmese grape wild relative 1,Wild,Woody,Haegens 2000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2183,Phyllanthaceae ,Guillame,Baccaurea racemosa ,Baccaurea racemosa ,MICROP,Kapundung,Cultivated,Woody,Haegens 2000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2184,Phyllanthaceae ,Guillame,Baccaurea ramiflora,Baccaurea ramiflora,MICROP,Kapundung wild relative 1,Wild,Woody,Haegens 2000,,4,Groot,,,,5.69,,,,,,,1220,,,,,,,,,,,,,,,,,2970,1.3,,,,,,,,,,,,,,,,,,,,NA,,
2186,Phyllanthaceae ,Guillame,Baccaurea ramiflora ,Baccaurea ramiflora ,MICROP,Burmese grape,Cultivated,Woody,Haegens 2000,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
378,Arecaceae,Guillame,Bactris acanthocarpa,Bactris acanthocarpa,MICROP,Peach palm wild relative 2,Wild,Woody,Couvreur et al. 2007,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
376,Arecaceae,Guillame,Bactris gasipaes,Bactris gasipaes,MICROP,Peach palm,Cultivated,Woody,Couvreur et al. 2007,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Orthotropic,Spiral,Absent,Absent,Lateral,Indeterminate,Continuous,Absent,1,1,Absent,
377,Arecaceae,Guillame,Bactris gasipaes var. chichagui,Bactris gasipaes var. chichagui,MICROP,Peach palm wild relative 1,Wild,Woody,Couvreur et al. 2007,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2622,Sapotaceae,Guillame,Baillonella toxisperma ,Baillonella toxisperma ,MICROP,Shea tree wild relative 2,Wild,Woody,Armstrong et al. 2014,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2829,Zygophyllaceae,Guillame,Balanites aegyptiaca,Balanites aegyptiaca,MICROP,Desert date,Cultivated,Woody,Lauterbach et al. 2019,,1,Groot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,,,,,,,,,,,,,,NA,,
2831,Zygophyllaceae,Guillame,Balanites maughamii,Balanites maughamii,MICROP,Desert date wild relative 2,Wild,Woody,Lauterbach et al. 2019,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2830,Zygophyllaceae,Guillame,Balanites roxburghii ,Balanites roxburghii ,MICROP,Desert date wild relative 1,Wild,Woody,Lauterbach et al. 2019,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1447,Gramineae,Guillame,Bambusa albolineata ,Bambusa albolineata ,MICROP,Hedge bamboo wild relative 1,Wild,Graminoid,Liu et al. 2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1440,Gramineae,Guillame,Bambusa bambos,Bambusa bambos,MICROP,Giant thorny bamboo,Cultivated,Graminoid,Liu et al. 2020,,1,Groot,,,,,,,,,,,,,,,,,,,,,,,50.66,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1448,Gramineae,Guillame,Bambusa boniopsis,Bambusa boniopsis,MICROP,Hedge bamboo wild relative 2,Wild,Graminoid,Liu et al. 2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1450,Gramineae,Guillame,Bambusa cornigera ,Bambusa cornigera ,MICROP,Odashimae wild relative 1,Wild,Graminoid,Liu et al. 2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1442,Gramineae,Guillame,Bambusa lapidea,Bambusa lapidea,MICROP,Giant thorny bamboo wild relative 2,Wild,Graminoid,Liu et al. 2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1454,Gramineae,Guillame,Bambusa lapidea,Bambusa lapidea,MICROP,Common bamboo wild relative 2,Wild,Graminoid,Liu et al. 2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1446,Gramineae,Guillame,Bambusa multiplex,Bambusa multiplex,MICROP,Hedge bamboo,Cultivated,Graminoid,Liu et al. 2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1449,Gramineae,Guillame,Bambusa odashimae,Bambusa odashimae,MICROP,Odashimae,Cultivated,Graminoid,Liu et al. 2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1445,Gramineae,Guillame,Bambusa oldhamii,Bambusa oldhamii,MICROP,Fibribambusa wild relative 2,Wild,Graminoid,Chokthaweepanich et al. 2014,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1451,Gramineae,Guillame,Bambusa oliveriana,Bambusa oliveriana,MICROP,Odashimae wild relative 2,Wild,Graminoid,Liu et al. 2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1441,Gramineae,Guillame,Bambusa sinospinosa,Bambusa sinospinosa,MICROP,Giant thorny bamboo wild relative 1,Wild,Graminoid,Liu et al. 2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1453,Gramineae,Guillame,Bambusa sinospinosa,Bambusa sinospinosa,MICROP,Common bamboo wild relative 1,Wild,Graminoid,Liu et al. 2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1452,Gramineae,Guillame,Bambusa vulgaris,Bambusa vulgaris,MICROP,Common bamboo,Cultivated,Graminoid,Liu et al. 2020,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
599,Brassicaceae,Guillame,Barbarea grayi,Barbarea grayi,MICROP,American cress wild relative 1,Wild,Herbaceous,Filiz et al. 2014,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
600,Brassicaceae,Guillame,Barbarea integrifolia,Barbarea integrifolia,MICROP,American cress wild relative 2,Wild,Herbaceous,Filiz et al. 2014,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
573,Brassicaceae,Guillame,Barbarea integrifolia ,Barbarea integrifolia ,MICROP,Bittercress wild relative 2,Wild,Herbaceous,Filiz et al. 2014,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
572,Brassicaceae,Guillame,Barbarea intemedia,Barbarea intemedia,MICROP,Bittercress wild relative 1,Wild,Herbaceous,Filiz et al. 2014,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
598,Brassicaceae,Guillame,Barbarea verna,Barbarea verna,MICROP,American cress,Cultivated,Herbaceous,Filiz et al. 2014,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
571,Brassicaceae,Guillame,Barbarea vulgaris ,Barbarea vulgaris ,MICROP,Bittercress,Cultivated,Herbaceous,Filiz et al. 2014,,1,Groot,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,Orthotropic,Spiral,Monopodial,Basitonic,Terminal,Determinate,Continuous,Absent,2,1,Absent,
1808,Lecythidaceae,Guillame,Barringtonia acutangula,Barringtonia acutangula,MICROP,Pao nut wild relative 1,Wild,Woody,theplantlist.org,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1809,Lecythidaceae,Guillame,Barringtonia macrostachya,Barringtonia macrostachya,MICROP,Pao nut wild relative 2,Wild,Woody,theplantlist.org,,3,Groot,,,,,,,,,,,,,,,,,,,,1.42,,,,,,5.48,,,,,,,,,,,22.22,,,,,,,,,,,,NA,,
1807,Lecythidaceae,Guillame,Barringtonia procera,Barringtonia procera,MICROP,Pao nut,Cultivated,Woody,theplantlist.org,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
523,Basellaceae,Guillame,Basella alba,Basella alba,MICROP,Malaba spinach,Cultivated,Herbaceous,Eriksson 2007,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
524,Basellaceae,Guillame,Basella excavata ,Basella excavata ,MICROP,Malaba spinach wild relative 1,Wild,Herbaceous,Eriksson 2007,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
525,Basellaceae,Guillame,Basella paniculata,Basella paniculata,MICROP,Malaba spinach wild relative 2,Wild,Herbaceous,Eriksson 2007,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
77,Amaranthaceae,Guillame,Bassia angustifolia ,Bassia angustifolia ,MICROP,Bassia wild relative 1,Wild,Herbaceous,Akhani & Khoshravesh 2013,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
78,Amaranthaceae,Guillame,Bassia hyssopifolia,Bassia hyssopifolia,MICROP,Bassia wild relative 2,Wild,Herbaceous,Akhani & Khoshravesh 2013,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
76,Amaranthaceae,Guillame,Bassia indica,Bassia indica,MICROP,Bassia ,Cultivated,Herbaceous,Akhani & Khoshravesh 2013,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
837,Cucurbitaceae,Guillame,Benincasa,Benincasa hispida,MICROP,Wax gourd,cultivated,,Schaefer et al. 2009,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ageotropic,Spiral,Monopodial,Mesotonic,Lateral,Indeterminate,Continuous,Absent,2,1,Present,
534,Berberidaceae ,Guillame,Berberis canadensis ,Berberis canadensis ,MICROP,Common barberry wild relative 2,Wild,Woody,Kim et al. 2004,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
533,Berberidaceae ,Guillame,Berberis vernae ,Berberis vernae ,MICROP,Common barberry wild relative 1,Wild,Woody,Kim et al. 2004,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
532,Berberidaceae ,Guillame,Berberis vulgaris,Berberis vulgaris,MICROP,Common barberry,Cultivated,Woody,Kim et al. 2004,,8,Groot,,,,,,,,460,,,,0.237,,,,,,7.27,,0.142212455,,,56,21.1,,,,,,0.32,,,,,,,34.9,,,,,,,,,,,,NA,,
2627,Saxifragaceae,Guillame,Bergenia cilata ,Bergenia cilata ,MICROP,Korean elephant ears wild relative 1,Wild,Herbaceous,Deng et al. 2015,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2626,Saxifragaceae,Guillame,Bergenia crassifolia ,Bergenia crassifolia ,MICROP,Korean elephant ears,Cultivated,Herbaceous,Deng et al. 2015,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
2628,Saxifragaceae,Guillame,Bergenia pacumbis,Bergenia pacumbis,MICROP,Korean elephant ears wild relative 2,Wild,Herbaceous,Deng et al. 2015,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
1804,Lecythidaceae,Guillame,Bertholletia excelsa ,Bertholletia excelsa ,MICROP,Brazil nut,Cultivated,Woody,Huang et al. 2015,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
39,Amaranthaceae,Guillame,Beta maritima,Beta maritima,MICROP,Palonga wild relative 2,Wild,Herbaceous,Jassem 1992,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
37,Amaranthaceae,Guillame,Beta palonga,Beta palonga,MICROP,Palonga,Cultivated,Herbaceous,Jassem 1992,Note: listed as subspecies of vulgaris so vulgaris used in phylogeny on p136,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
36,Amaranthaceae,Guillame,Beta patula,Beta patula,MICROP,Beet wild relative 2,Wild,Herbaceous,Wiersema & Blanca 2013,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
38,Amaranthaceae,Guillame,Beta provulgaris,Beta provulgaris,MICROP,Palonga wild relative 1,Wild,Herbaceous,Jassem 1992,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
35,Amaranthaceae,Guillame,Beta vulgaris subsp. adanensis,Beta vulgaris subsp. adanensis,MICROP,Beet wild relative 1,Wild,Herbaceous,Wiersema & Blanca 2013,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
34,Amaranthaceae,Guillame,Beta vulgaris subsp. vulgaris,Beta vulgaris subsp. vulgaris,MICROP,Beet,Cultivated,Herbaceous,Wiersema & Blanca 2013,,4,Groot,,,,0.912,,,,,,,,,,,,,,,,7.839,,,,,,,,,,0.131,,,,,,,202.448,,,,,,,,,,,,NA,,
252,Apiaceae,Guillame,Bifora radians,Bifora radians,MICROP,Coriander wild relative 2,Wild,Herbaceous,Katz-Downie et al. 1999,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
561,Bixaceae,Guillame,Bixa excelsa,Bixa excelsa,MICROP,Annatto wild relative 2,Wild,Woody,theplantlist.org,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,
